Year,RK,ID,NAME,TEAM,SALARY,POS,GMS,PASS_YDS,PASS_TD,PASS_INT,RUSH_YDS,RUSH_TD,RUSH_REC,REC_YDS,REC_TD,DEF_SCK,DEF_INT,DEF_FF,DEF_FR,FPTS_G,FPTS
2021,853,15478,A.J. Bouye,CAR,3380556.00,CB,10,0,0,0,0,0,0,0,0,0,0,1,0,3.4,33.5
2017,59,15478,A.J. Bouye,JAX,13500000.00,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,5.7,17
2016,45,15478,A.J. Bouye,HOU,1671000.00,CB,2,0,0,0,0,0,0,0,0,0,2,1,0,10.5,21
2015,307,15478,A.J. Bouye,HOU,672028.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,98,21042,A.J. Brown,TEN,751926.00,WR,1,0,0,0,0,0,6,83,1,0,0,0,0,14.3,14.3
2019,160,21042,A.J. Brown,TEN,2625812.00,WR,3,0,0,0,9,0,5,64,0,0,0,0,0,2.4,7.3
2021,938,21881,A.J. Epenesa,BUF,2619050.00,DE,14,0,0,0,0,0,0,0,0,1.5,0,0,0,2,27.3
2020,231,21881,A.J. Epenesa,BUF,2619050.00,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,1.7,5
2021,258,12845,A.J. Green,ARI,7250000.00,WR,16,0,0,0,0,0,54,848,3,0,0,0,0,6.4,102.8
2021,878,22046,A.J. Green,CLE,7250000.00,CB,12,0,0,0,0,0,0,0,0,0,1,0,2,2.7,32
2020,434,22046,A.J. Green,CLE,18196490.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,94,12845,A.J. Green,CIN,26750000.00,WR,1,0,0,0,0,0,5,71,1,0,0,0,0,13.1,13.1
2021,666,15186,A.J. Klein,BUF,5976460.00,OLB,15,0,0,0,0,0,0,0,0,0,1,0,1,3.2,48
2020,325,15186,A.J. Klein,BUF,6881186.00,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.5
2019,164,15186,A.J. Klein,NO,4675000.00,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2018,168,15186,A.J. Klein,NO,4200000.00,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7
2015,307,15186,A.J. Klein,CAR,721260.00,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1
2021,1232,20513,A.J. Moore,HOU,2133000.00,SS,12,0,0,0,0,0,0,0,0,0,0,1,0,0.9,11
2019,306,20513,A.J. Moore,HOU,570000.00,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.5
2018,366,20513,A.J. Moore,HOU,480000.00,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,265,22075,A.J. Terrell,ATL,1260261.00,CB,16,0,0,0,0,0,0,0,0,1,3,1,0,6.3,100.7
2021,1702,14042,Aaron Brewer,ARI,1166202.00,LS,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,356,14042,Aaron Brewer,DEN,1400000.00,LS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,360,14042,Aaron Brewer,DEN,570000.00,LS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,184,16249,Aaron Colvin,JAX,1797000.00,CB,3,0,0,0,0,0,0,0,0,0,1,0,0,2.2,6.5
2021,73,16618,Aaron Donald,LAR,19892000.00,DT,17,0,0,0,0,0,0,0,0,12.5,0,4,0,9.2,157.1
2020,98,16618,Aaron Donald,LAR,17020228.00,DT,2,0,0,0,0,0,0,0,0,2,0,0,0,7.2,14.3
2018,81,16618,Aaron Donald,LAR,40892000.00,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,4.7,14
2017,169,16618,Aaron Donald,LAR,1802250.00,DT,1,0,0,0,0,0,0,0,0,0.5,0,0,0,7.8,7.85
2021,51,19045,Aaron Jones,GB,14226460.00,RB,15,0,0,0,799,4,52,391,6,0,0,0,0,11.8,177
2020,62,19045,Aaron Jones,GB,2283641.00,RB,2,0,0,0,126,1,5,21,0,0,0,0,0,9.4,18.7
2019,11,19045,Aaron Jones,GB,645000.00,RB,2,0,0,0,118,3,6,31,1,0,0,0,0,19.4,38.9
2016,84,16966,Aaron Ripkowski,GB,525000.00,FB,3,0,0,0,36,1,4,39,0,0,0,0,0,4.5,13.5
2015,356,16966,Aaron Ripkowski,GB,630100.00,FB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,959,22854,Aaron Robinson,NYG,1665298.00,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,2.8,25
2021,6,2593,Aaron Rodgers,GB,22664706.00,QB,16,4115,37,4,101,3,1,-4,0,0,0,0,0,20.8,332.3
2020,7,2593,Aaron Rodgers,GB,21578775.00,QB,2,642,5,1,-3,1,0,0,0,0,0,0,0,24.7,49.38
2019,15,2593,Aaron Rodgers,GB,15320000.00,QB,2,569,4,2,14,0,0,0,0,0,0,0,0,17.1,34.16
2016,2,2593,Aaron Rodgers,GB,12600000.00,QB,3,1005,9,2,62,0,0,0,0,0,0,0,0,26.1,78.4
2015,12,2593,Aaron Rodgers,GB,11608773.00,QB,2,471,4,1,20,0,0,0,0,0,0,0,0,18.4,36.84
2014,18,2593,Aaron Rodgers,GB,10908256.00,QB,2,494,4,2,8,0,0,0,0,0,0,0,0,15.3,30.56
2021,1618,20450,Abdullah Anderson,GB,######,DL,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1
2017,149,15441,Abry Jones,JAX,4000000.00,NT,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9
2021,925,19275,Adam Butler,MIA,3750000.00,DT,17,0,0,0,0,0,0,0,0,2,0,0,0,1.7,28.3
2019,232,19275,Adam Butler,NE,645000.00,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5
2018,267,19275,Adam Butler,NE,555000.00,DT,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.5
2017,99,19275,Adam Butler,NE,470000.00,DT,3,0,0,0,0,0,0,0,0,2,0,0,0,4.4,13.1
2021,706,17993,Adam Gotsis,JAX,1127500.00,DE,16,0,0,0,0,0,0,0,0,3,0,0,0,2.8,44.2
2021,789,17290,Adam Humphries,WAS,1190000.00,WR,17,0,0,0,0,0,41,383,0,0,0,0,0,2.3,38.3
2019,269,17290,Adam Humphries,TEN,12375000.00,WR,1,0,0,0,0,0,4,25,0,0,0,0,0,2.5,2.5
2021,1232,18931,Adam Shaheen,MIA,1866165.00,TE,12,0,0,0,0,0,12,110,0,0,0,0,0,0.9,11
2018,306,18931,Adam Shaheen,CHI,733661.00,TE,1,0,0,0,0,0,3,13,0,0,0,0,0,1.3,1.3
2021,128,15534,Adam Thielen,MIN,11582343.00,WR,13,0,0,0,2,0,67,726,10,0,0,0,0,10.2,132.8
2019,60,15534,Adam Thielen,MIN,14273750.00,WR,2,0,0,0,3,0,12,179,0,0,0,0,0,8.1,16.2
2017,135,15534,Adam Thielen,MIN,7496000.00,WR,2,0,0,0,0,0,9,102,0,0,0,0,0,5.1,10.2
2015,356,15534,Adam Thielen,MIN,682306.00,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,426,21786,Adam Trautman,NO,1442296.00,TE,2,0,0,0,0,0,1,4,0,0,0,0,0,0.2,0.4
2018,227,3258,Adam Vinatieri,IND,3625000.00,K,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2014,35,3258,Adam Vinatieri,IND,2500000.00,K,3,0,0,0,0,0,0,0,0,0,0,0,0,7.7,23
2014,343,16558,Adarius Taylor,CAR,271764.00,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5
2017,312,18010,Adolphus Washington,BUF,570000.00,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,494,18924,Adoree' Jackson,NYG,15764699.00,CB,13,0,0,0,0,0,0,0,0,0,1,0,0,5.1,66.5
2020,164,18924,Adoree' Jackson,TEN,2003561.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8
2019,80,18924,Adoree' Jackson,TEN,1490708.00,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,4.5,13.5
2017,223,18924,Adoree' Jackson,TEN,6810661.00,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,2.2,4.5
2021,278,16902,Adrian Amos,GB,4554000.00,FS,17,0,0,0,0,0,0,0,0,0,2,0,0,5.8,98
2020,125,16902,Adrian Amos,GB,6966502.00,FS,2,0,0,0,0,0,0,0,0,0,1,0,0,5.5,11
2019,146,16902,Adrian Amos,GB,14150000.00,FS,2,0,0,0,0,0,0,0,0,0,0,0,0,4,8
2018,113,16902,Adrian Amos,CHI,1907000.00,FS,1,0,0,0,0,0,0,0,0,0,1,0,0,10.5,10.5
2020,304,13355,Adrian Clayborn,CLE,2872520.00,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3
2018,113,13355,Adrian Clayborn,NE,5937500.00,DE,3,0,0,0,0,0,0,0,0,1,0,0,0,3.5,10.5
2017,194,13355,Adrian Clayborn,ATL,5000000.00,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6
